open,high,low,close,volume,dividends,stock splits,symbol,vix,rsi,ma_20,ma_50,price_vs_ma20,prev_close,gap_pct,is_gap,gap_direction,volume_ma20,volume_ratio,gap_filled_3d
160.47776080976593,161.35130887810135,154.9027607729143,156.73818969726562,108275300,0.0,0.0,AAPL,,18.336680665777635,,,,156.82656860351562,0.023281719664995912,True,up,,,True
162.64696676990783,167.2011988377615,159.79075260205332,167.1815643310547,179935700,0.0,0.0,AAPL,,47.17274005050828,,,,156.2769012451172,0.04076140155095171,True,up,,,False
149.95041347268688,160.04342283525685,149.38040748672637,159.93531799316406,141147500,0.0,0.0,AAPL,,34.85666410100052,167.06150283813477,,-0.04265605614643154,157.3114013671875,-0.04679246278735396,True,down,92895870.0,1.5194163098962312,True
158.69705635061237,160.59380261054181,156.66273844037977,160.1417236328125,91454900,0.0,0.0,AAPL,,37.179436139366075,163.30575103759764,,-0.019374868213041043,154.72666931152344,0.025660650854540397,True,up,88753050.0,1.030442334094434,True
148.83994399421974,151.46392805455815,147.51321856820022,148.0242462158203,108732100,0.0,0.0,AAPL,,33.509827535039065,160.6930694580078,,-0.07883864117424247,152.06341552734375,-0.021198205511465538,True,down,91264180.0,1.1913995173133642,True
153.06432833720223,154.26506562042874,150.5152132745714,152.0702667236328,115366700,0.0,0.0,AAPL,,37.974191658471405,158.89171981811523,162.0251330566406,-0.0429314573615982,149.65896606445312,0.022754148062753058,True,up,97878560.0,1.1786718153597682,True
140.515681208882,143.8915146679824,136.60836588189918,140.30899047851562,182602000,0.0,0.0,AAPL,,33.734783631619564,156.50481338500975,161.23350891113282,-0.10348450348713292,144.186767578125,-0.025460632975587635,True,down,106648945.0,1.7121782123583127,True
146.50950977669152,147.40514453340242,144.36392404181558,146.88351440429688,78336300,0.0,0.0,AAPL,,44.16236045714228,153.79135971069337,160.3262045288086,-0.04491699221198954,143.24195861816406,0.0228114107769056,True,up,109993640.0,0.7121893593120475,True
135.22061822713323,142.06087507401406,134.97456571452705,141.5097198486328,90601500,0.0,0.0,AAPL,,37.326286146934244,146.40317764282227,158.0861880493164,-0.033424532670513186,138.30117797851562,-0.022274284257079464,True,down,116904550.0,0.7750040524513374,True
144.58046123211946,145.63357327354205,142.17900114416437,143.08447265625,88570300,0.0,0.0,AAPL,,48.043462022806196,143.79850006103516,156.43244506835939,-0.0049654718545888024,148.82241821289062,-0.028503481073013072,True,down,109272085.0,0.8105482749780056,False
130.7719656189882,133.06517650587148,129.36455265966853,129.797607421875,122207100,0.0,0.0,AAPL,,36.453563656738126,141.5564727783203,152.50109375,-0.08306836929216146,134.9647216796875,-0.03106557038401487,True,down,92978230.0,1.314362512601068,True
129.99445602178534,130.29955871287268,127.00244927117835,128.00634765625,108123900,0.0,0.0,AAPL,,34.47965016659319,139.71845779418945,149.96605255126954,-0.08382650598099091,133.2915802001953,-0.024736177434898036,True,down,93464140.0,1.1568490332227954,True
158.69404891618413,161.04631055801715,156.98151786037047,159.94398498535156,101786900,0.0,0.0,AAPL,,77.49393603000982,147.30720901489258,141.94651123046876,0.08578518359669296,154.86544799804688,0.024722111792073467,True,up,72356270.0,1.4067460912509724,False
157.59378043168627,158.2245492067868,151.15796283866058,151.62118530273438,122656600,0.0,0.0,AAPL,,33.77759954442955,160.65400161743165,156.53594787597658,-0.05622528056417346,161.07289123535156,-0.02159960485580278,True,down,75393935.0,1.6268762202158569,False
145.5106120290712,148.46734352386844,142.75099295951767,147.6788787841797,146691400,0.0,0.0,AAPL,,44.3047647839304,152.25195922851563,157.92471405029298,-0.03003626664319102,149.57118225097656,-0.027148078665927906,True,down,95982520.0,1.528313697119017,False
143.99281757061257,144.60387054853373,138.65097655674526,140.42501831054688,128138200,0.0,0.0,AAPL,,33.459214813265675,151.5255889892578,157.72074432373046,-0.07325871988194613,147.6788787841797,-0.024959975616783932,True,down,97989875.0,1.3076677564901475,False
133.04305662953354,141.51901056988928,132.4319886081597,140.92767333984375,113224000,0.0,0.0,AAPL,,39.79698298283421,144.54572830200195,154.63192962646485,-0.025030521514955675,136.3447265625,-0.024215604198325826,True,down,99244500.0,1.1408591911894361,True
143.39162165141138,144.58416155365336,138.58200045824861,141.6767120361328,99136600,0.0,0.0,AAPL,,42.94974462947615,142.69579849243163,153.22728393554686,-0.007141671072767242,140.35601806640625,0.021627883341410466,True,up,95321635.0,1.0400220264790885,True
146.06252959255997,155.2284000306861,145.68802050452555,153.49378967285156,164762400,0.0,0.0,AAPL,,67.12883304748696,142.51149520874023,149.61080657958985,0.07706251659226006,142.71156311035156,0.023480693569429095,True,up,88509825.0,1.8615153741406674,True
140.0110654914598,140.74039788163316,136.7488080444843,136.87693786621094,97918500,0.0,0.0,AAPL,,50.49759016838004,142.88206939697267,147.91659851074218,-0.04202858732454056,142.93824768066406,-0.02047864890399274,True,down,89501355.0,1.0940448890410654,False
140.27296098274414,140.8455457973991,132.6615642734104,136.61041259765625,140814800,0.23,0.0,AAPL,,45.91180890864324,142.8091148376465,147.29725311279296,-0.043405508444172326,136.87693786621094,0.024810776522869112,True,up,92245815.0,1.5265169482214451,True
139.43385733276594,144.99185180664062,137.71610267221538,144.99185180664062,118854000,0.0,0.0,AAPL,,49.86627266604819,142.8268196105957,145.7195263671875,0.015158442944733322,133.1453094482422,0.04723071289994117,True,up,93819040.0,1.2668430629859355,False
