open,high,low,close,volume,dividends,stock splits,symbol,sector,vix,rsi,ma_20,ma_50,price_vs_ma20,price_volatility_10d,price_volatility_20d,bb_upper,bb_lower,bb_position,macd,macd_signal,prev_close,gap_pct,is_gap,gap_direction,volume_ma20,volume_ratio,gap_vs_volatility,volume_spike,volume_drought,rsi_oversold,rsi_overbought,strong_uptrend,strong_downtrend,large_gap,huge_gap,gap_filled_3d,capital gains
34.297229415515666,34.71171315877286,33.825578007512746,33.8708381652832,365248800,0.0,0.0,AAPL,Technology,,,,,,,,,,,-0.08406760142398895,-0.04670422301332719,37.61785125732422,-0.08827250177299868,True,down,,,,False,False,False,False,False,False,True,False,False,
38.88751681814035,39.57831964461533,38.16812651531536,39.36393356323242,244439200,0.0,0.0,AAPL,Technology,,66.9699391937597,36.577477264404294,,0.07617956478206311,0.026095652198083467,,38.7971385361733,34.35781599263529,1.127676018469116,0.32241154693744534,0.1789708996214771,36.84605407714844,0.05540519309659283,True,up,157469560.0,1.5522949324301154,2.0448001285059214,False,False,False,False,False,False,True,False,False,
50.20956773791471,51.50858421746572,50.0540661276961,50.362674713134766,259309200,0.0,0.0,AAPL,Technology,,67.90875147688672,48.27779579162598,45.37316062927246,0.04318504785320836,0.018794521736455537,0.01377941944619637,50.239479507345,46.31611207590695,1.0314003742811841,1.1352883775899443,1.2095090468727958,48.00626754760742,0.045896094465629804,True,up,104063460.0,2.4918371924208556,2.3186260863834383,True,False,False,False,False,False,False,False,False,
48.87227517238446,49.9607719587603,48.68328515557956,49.87464904785156,129772400,0.0,0.0,AAPL,Technology,,64.11354247259244,48.7722827911377,45.91535140991211,0.022602310034054277,0.019691768699778796,0.014733832583664001,50.76386607098238,46.780699511293015,0.7767562541496719,1.164652042558167,1.1919616519863032,50.65693664550781,-0.03523034733845501,True,down,108947280.0,1.1911485995795397,1.7026261915846583,False,False,False,False,False,False,False,False,False,
45.07878186043574,45.50384683187494,43.911646920796755,44.60087966918945,229722400,0.0,0.0,AAPL,Technology,,27.441376938576113,48.6863338470459,46.48617576599121,-0.08391377733824454,0.02755284777216035,0.020735737314901852,51.340308362050095,46.03235933204171,-0.2696860227480354,0.1878665453124384,0.7850704463427856,47.35301971435547,-0.04802730359412062,True,down,122276160.0,1.8787178138404084,1.6820495096446486,False,False,True,False,False,False,False,False,False,
44.07255098317471,44.27187692674311,43.29445974538659,43.96928405761719,154449200,0.0,0.0,AAPL,Technology,,33.86563116032511,47.91334209442139,46.84055503845215,-0.08231648773387094,0.021914332666812985,0.02157859436761548,52.04708561060991,43.779598578232864,0.02294354725220359,-0.6183767101338447,0.00418928191182559,45.38857650756836,-0.02899464194860154,True,down,132640580.0,1.164418913125983,1.2653496119742869,False,False,False,False,False,False,False,False,False,
44.25505688634798,44.42556582774163,43.500982366419116,43.83719253540039,119093600,0.0,0.0,AAPL,Technology,,38.269826150142165,44.418265151977536,46.51092514038086,-0.013081839522300114,0.017571745586552157,0.020290607964051813,48.31530161660248,40.52122868735259,0.42544685919008096,-1.2271199753441309,-1.1561431263308226,43.14076232910156,0.025829273686588168,True,up,130334260.0,0.9137551400529684,1.390783303928695,False,False,False,False,False,False,False,False,False,
48.79150951716923,49.10851079936049,48.18632758306869,48.4024658203125,109012000,0.0,0.0,AAPL,Technology,,64.29164235931941,46.680948448181155,46.550571823120116,0.03687837178463371,0.01332912471776641,0.013571575147312089,49.55581977389877,43.80607712246354,0.7994077259617223,0.7100023075887449,0.5359137395984878,47.530723571777344,0.02652570486304386,True,up,100415120.0,1.0856134016470826,1.851174121623433,False,False,False,False,False,False,False,False,False,
51.97351246001383,53.162259942885825,50.74393972057307,51.161800384521484,277125600,0.0,0.0,AAPL,Technology,,71.22978583589713,49.356832122802736,47.1230908203125,0.03656977532974321,0.012058746122251288,0.010946730913966583,50.93755641338245,47.77610783222302,1.0709307665085581,0.8257011087221997,0.7638301433970843,50.13875961303711,0.03659350293340018,True,up,85932700.0,3.224914380672317,2.8022217899655106,True,False,False,True,False,False,False,False,True,
47.547533276109434,47.70603026938217,46.24831451752972,46.43082809448242,209572000,0.0,0.0,AAPL,Technology,,36.7521187015957,49.32237014770508,47.39566215515137,-0.05862536704062261,0.02072050392238243,0.017043594635892282,51.32808607748534,47.31665421792482,-0.220825419564636,0.33594582319620514,0.6619530881712686,48.99563980102539,-0.029555824371246413,True,down,104594080.0,2.0036698061687623,1.3607338244482388,True,False,False,False,False,False,False,False,True,
48.97449310943622,49.765181604809555,48.837085060267704,48.87565612792969,146189600,0.0,0.0,AAPL,Technology,,46.7930814237497,49.240356063842775,48.23551742553711,-0.007406525156727832,0.028255906755325855,0.021634633603542276,51.58298232333577,46.89772980434978,0.42216002564745053,0.11342890701951092,0.19956640880708135,50.37506866455078,-0.027802950789825063,True,down,125170560.0,1.1679231921627578,0.9503363208786447,False,False,False,False,False,False,False,False,True,
54.39360185610263,54.8395710800797,53.971740468468944,54.72385787963867,138478800,0.0,0.0,AAPL,Technology,,60.17172815263196,53.152723121643064,51.066203079223634,0.029558876116280552,0.015613776529334922,0.014743628943271761,54.61794239419245,51.68750384909368,1.0361432201413578,0.7802924273551568,0.7905588742192007,53.23167037963867,0.021827822951586334,True,up,118544860.0,1.168155245195785,1.3138387237269609,False,False,False,False,False,False,False,False,False,
